timestamp,peso,velz,dist
2024-01-31 02:39:04.932182,-123.252602,-10.917560,14.433000
2024-01-31 02:39:05.869164,4.206100,-10.905589,14.433000
2024-01-31 02:39:06.781116,4.201200,-10.951078,14.433000
2024-01-31 02:39:07.704724,4.193800,-10.915166,14.433000
2024-01-31 02:39:08.536817,4.186500,-10.936713,14.841000
2024-01-31 02:39:09.445984,4.193000,-10.929531,14.841000
2024-01-31 02:39:10.363117,4.189800,-10.917560,14.824000
2024-01-31 02:39:11.177049,4.183900,-10.931925,14.416000
2024-01-31 02:39:12.096942,4.171300,-10.939108,14.841000
2024-01-31 02:39:13.018034,4.177500,-10.924743,14.416000
2024-01-31 02:39:13.837735,4.183500,-10.936713,14.824000
2024-01-31 02:39:14.768996,4.188600,-10.898406,14.433000
2024-01-31 02:39:16.548324,-123.298599,-10.929531,14.416000
2024-01-31 02:39:18.155990,4.160800,-10.917560,14.824000
2024-01-31 02:39:18.956969,4.172700,-10.898406,14.433000
2024-01-31 02:39:19.880440,4.190900,-10.963050,14.433000
2024-01-31 02:39:20.825052,4.195500,-10.939108,14.433000
2024-01-31 02:39:21.627170,4.204000,-10.919954,14.433000
2024-01-31 02:39:22.554655,4.198300,-10.905589,14.433000
2024-01-31 02:39:23.466560,4.194000,-10.951078,14.433000
2024-01-31 02:39:24.391156,4.183200,-10.934319,14.433000
2024-01-31 02:39:25.219356,4.170800,-10.936713,14.433000
2024-01-31 02:39:26.132179,4.141400,-10.915166,14.416000
2024-01-31 02:39:27.093574,4.125600,-10.946290,14.433000
2024-01-31 02:39:27.898019,4.108900,-10.929531,14.416000
2024-01-31 02:39:29.637707,-123.341698,-10.912771,14.433000
2024-01-31 02:39:30.434738,4.107400,-10.915166,14.433000
2024-01-31 02:39:31.406899,4.120600,-10.927136,14.433000
2024-01-31 02:39:32.275342,4.134600,-10.912771,14.433000
2024-01-31 02:39:33.913872,4.132600,-10.929531,14.433000
2024-01-31 02:39:34.864999,4.122300,-10.905589,14.433000
2024-01-31 02:39:35.655654,4.114000,-10.958261,14.433000
2024-01-31 02:39:36.574074,4.109400,-10.905589,14.433000
2024-01-31 02:39:37.499569,4.101700,-10.919954,14.416000
2024-01-31 02:39:38.419729,4.094200,-10.915166,14.824000
2024-01-31 02:39:39.247216,4.096300,-10.922348,14.416000
2024-01-31 02:39:40.158862,4.103500,-10.912771,14.433000
2024-01-31 02:39:41.795745,4.101800,-10.919954,14.824000
2024-01-31 02:39:42.724540,4.099100,-10.924743,14.433000
2024-01-31 02:39:43.641153,4.098300,-10.905589,14.433000
2024-01-31 02:39:44.471825,4.095500,-10.919954,14.824000
2024-01-31 02:39:45.389356,4.109600,-10.910378,14.433000
2024-01-31 02:39:46.348799,4.117100,-10.912771,14.433000
2024-01-31 02:39:47.141067,4.125400,-10.946290,14.433000
2024-01-31 02:39:48.042820,4.121400,-10.922348,14.433000
2024-01-31 02:39:48.976180,4.118400,-10.919954,14.433000
2024-01-31 02:39:49.887693,4.119000,-10.936713,14.416000
2024-01-31 02:39:50.755658,4.112500,-10.939108,14.433000
2024-01-31 02:39:51.631255,4.126300,-10.915166,14.433000
2024-01-31 02:39:52.545813,4.119100,-10.922348,14.416000
2024-01-31 02:39:53.380861,4.102600,-10.907983,14.416000
2024-01-31 02:39:54.747016,4.098000,-10.929531,14.416000
2024-01-31 02:39:55.216833,4.097900,-10.931925,14.416000
2024-01-31 02:39:56.146164,4.099500,-10.955867,14.824000
2024-01-31 02:39:56.955798,4.111600,-10.927136,14.416000
2024-01-31 02:39:57.868308,4.115500,-10.927136,14.824000
2024-01-31 02:39:59.516597,-331.524506,-10.931925,14.824000
2024-01-31 02:40:00.430734,4.096900,-10.912771,14.416000
2024-01-31 02:40:01.259912,4.092200,-10.919954,14.416000
2024-01-31 02:40:02.194394,4.083600,-10.881647,14.433000
2024-01-31 02:40:03.095776,4.075900,-10.929531,14.433000
2024-01-31 02:40:04.740345,-123.375198,-10.886436,14.433000
